1230796514680823809,"RT @shahi_2d: لاتشيل هم أي مشوار! الشقردي دايم بالخدمة ويوصل لك اللي تبي بأقل سعر ممكن تتخيله 👌🥰

رابط التطبيق📲
https://t.co/QXoGJvHvVf

كو…",2020-02-21 10:08:50,Twitter for Android,,31,0
1230796509450579969,"RT @shahi_2d: كوووود خصم هائل من تطبيق شقردى على أول طلب خصم 30%
من خلال هذا الكود⁦❤️⁩Hail3❤️shaima ⁦❤️⁩ الرمز الترويجى

تطبيق شقردى افضل ت…",2020-02-21 10:08:49,Twitter for Android,,31,0
1230796499178729472,"RT @shahi_2d: ناقصك أغراض من السوبرماركت؟ الشقردي بالخدمة 🙋🏽‍♂️ كل أغراضك يجيبها وبسعر خرافي 🤑
رابط التطبيق📲
https://t.co/QXoGJvHvVf
كود خص…",2020-02-21 10:08:47,Twitter for Android,,32,0
1230796452835872769,"RT @Almuthana94: السلام عليكم
اخواني اخواتي
أنا خريج بكالوريوس لغة انجليزية تقدير ممتاز قبل سنتين وابحث عن وظيفة حتى لو مؤقته الين الله يفر…",2020-02-21 10:08:36,Twitter for iPhone,,67,0
1230796195037089792,"خصم هائل على أول طلب🔥 
من خلال هذا الكود👈(Ayoor1) 
حمل التطبيق من المتجر وضع الكود في خانة الرمز الترويجى😉
شقردى اف… https://t.co/HR2BTKEmi3",2020-02-21 10:07:34,Twitter for Android,"Place(_api=<tweepy.api.API object at 0x109127790>, id='08b2d74428e2ca88', url='https://api.twitter.com/1.1/geo/id/08b2d74428e2ca88.json', place_type='country', name='Kingdom of Saudi Arabia', full_name='Kingdom of Saudi Arabia', country_code='SA', country='Kingdom of Saudi Arabia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x109127790>, type='Polygon', coordinates=[[[34.567591, 16.3590225], [55.6666671, 16.3590225], [55.6666671, 32.1608222], [34.567591, 32.1608222]]]), attributes={})",0,0
1230796126883762176,"كوبون خصم
 كود الخصم من شين ان
 كوبون _ كود _ خصم
 منظف المكياج
 bomber blazer jacket
 استخدم كوبون الخصم الفعال و… https://t.co/ZgAgGvNFJL",2020-02-21 10:07:18,Twitter Web Client,,0,0
1230796122999754757,"كبون خصم ل
 كود تخفيظ نون اناس 
 كوبون _ كود _ خصم
 ماكينات القهوة
 طقم مطرز مكون من قطعتين
 
 نون 📬 NVXD
 
 ستايلي… https://t.co/9Mh9vwOhis",2020-02-21 10:07:17,Twitter Web Client,,0,0
1230796118386081793,"كود خصم طلبات اقل من ٣٢٩
 كود خصم نون اناس 827
 افضل كود خصم كوبون
 دعم الرضاعة
 تيشيرت بطبعة
 أشهر المواقع تقدم اك… https://t.co/ItkAw7ftJ5",2020-02-21 10:07:16,Twitter Web Client,,0,0
1230796022097399808,"ابي كود خصم من نون
 كودو خصم نون اناس 
 كود و كوبون خصم
 زجاجات و رضاعات
 المراهقه الكلب التصحيح البلوز
 
 نون 📬 NV… https://t.co/D8PAoshQg1",2020-02-21 10:06:53,Twitter Web Client,,0,0
1230795985930117120,"خصم هائل على أول طلب🔥 
من خلال هذا الكود👈(Ayoor1) 
حمل التطبيق من المتجر وضع الكود في خانة الرمز الترويجى😉
شقردى اف… https://t.co/aXQl2M6i0B",2020-02-21 10:06:44,Twitter for Android,"Place(_api=<tweepy.api.API object at 0x109127790>, id='08b2d74428e2ca88', url='https://api.twitter.com/1.1/geo/id/08b2d74428e2ca88.json', place_type='country', name='Kingdom of Saudi Arabia', full_name='Kingdom of Saudi Arabia', country_code='SA', country='Kingdom of Saudi Arabia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x109127790>, type='Polygon', coordinates=[[[34.567591, 16.3590225], [55.6666671, 16.3590225], [55.6666671, 32.1608222], [34.567591, 32.1608222]]]), attributes={})",0,0
